sample,variable,coef,odds_ratio,ci_lower,ci_upper,p_value,n
full_sample,const,-3.3361254648250864,0.0355745257948544,0.02716275251220128,0.046591260770066964,9.10677924593485e-130,26176
full_sample,within_mandate_period,0.5210895825481026,1.6838613564774632,1.5421837677451555,1.8385546049312766,3.2468909695475765e-31,26176
full_sample,age,0.0014174200045931208,1.0014184250191143,0.9989706715670696,1.0038721761416938,0.2563015363614327,26176
full_sample,household_size,-0.03734689438914498,0.9633418994803734,0.9390749274767207,0.9882359630110125,0.004116980689743245,26176
full_sample,household_children,0.09014647607651903,1.0943345657997752,1.056131470033408,1.1339195695648578,6.617156610468769e-07,26176
full_sample,i2_health,-3.318622114705362e-05,0.9999668143295095,0.999550536817616,1.0003832652062912,0.8758648617686045,26176
full_sample,i7a_health,-0.008463626096481904,0.9915720895545362,0.9842380488916602,0.9989607797531677,0.025452185452368273,26176
full_sample,i13_health,-0.0003872836300091317,0.9996127913546154,0.9985116781400577,1.0007151188266905,0.49100441809761186,26176
full_sample,protective_behaviour_nomask_scale,0.6800293956330701,1.973935756468815,1.9213818592098004,2.0279271150548803,0.0,26176
full_sample,week_number,-0.01971534373198131,0.9804777327191367,0.976276050845929,0.9846974977262577,2.3035273971174704e-19,26176
full_sample,gender_Male,-0.2576383694152963,0.7728746766972641,0.7271345016836969,0.8214921235297689,1.2597182118965625e-16,26176
full_sample,i9_health_No,-0.1487468772520551,0.8617872252440464,0.0,inf,0.9999993388135469,26176
full_sample,i9_health_Not sure,-0.40567665023409905,0.6665256534983488,0.0,inf,0.9999981967493338,26176
full_sample,i9_health_Yes,-0.24925133345623768,0.7793840634759645,0.0,inf,0.9999988920667905,26176
full_sample,employment_status_Full time student,0.20664664343144398,1.2295480261391045,1.0613275261525625,1.4244314891775012,0.005907430270449386,26176
full_sample,employment_status_Not working,-0.3227010233357357,0.7241903380160757,0.6568621712676432,0.7984196207611206,9.070832688268806e-11,26176
full_sample,employment_status_Other,-0.08487704342993742,0.9186252284649727,0.7555403383260096,1.1169123176692641,0.39467783940466583,26176
full_sample,employment_status_Part time employment,0.012735997942791719,1.0128174461721247,0.9114090841087217,1.1255090575202753,0.8129602667462992,26176
full_sample,employment_status_Retired,-0.327769594896296,0.7205290141438097,0.6537382445053139,0.7941436264232974,4.005319279041056e-11,26176
full_sample,employment_status_Unemployed,-0.16943883973020335,0.844138380632717,0.7617264259214358,0.9354665683224175,0.001226175540530149,26176
full_sample,i11_health_Neither willing nor unwilling,-0.3149421785670491,0.7298310729275004,0.0,inf,0.9999986000680764,26176
full_sample,i11_health_Not sure,-0.04145293556571275,0.9593944876377494,0.0,inf,0.9999998157398666,26176
full_sample,i11_health_Somewhat unwilling,-0.32853265817958643,0.7199794146248455,0.0,inf,0.999998539657793,26176
full_sample,i11_health_Somewhat willing,0.08609571810862865,1.089910647498184,0.0,inf,0.9999996173007223,26176
full_sample,i11_health_Very unwilling,-0.5112319980192489,0.599756224983345,0.0,inf,0.9999977275511407,26176
full_sample,i11_health_Very willing,0.3063885297339344,1.358510025562769,0.0,inf,0.999998638089424,26176
full_sample,WCRex1_Don't know,0.4015203649757688,1.4940945407192787,1.2236754176481381,1.8242733852557012,8.097354148587022e-05,26176
full_sample,WCRex1_Somewhat badly,0.46135065701672534,1.5862149711808555,1.3813844395184216,1.8214176031079643,6.157475867368149e-11,26176
full_sample,WCRex1_Somewhat well,0.5780729659269384,1.7825999879005285,1.5651545825526465,2.03025487212927,3.052694898074761e-18,26176
full_sample,WCRex1_Very badly,0.5352961984787682,1.7079540607337766,1.4976400195658313,1.9478025663488028,1.415038964673962e-15,26176
full_sample,WCRex1_Very well,0.5223091782332169,1.6859162393305793,1.4516284600480962,1.9580172504639306,7.814828902641786e-12,26176
full_sample,WCRex2_A fair amount of confidence,1.4239965699071164,4.153687815589918,3.6484062050882127,4.728947792413644,1.0623797925545943e-102,26176
full_sample,WCRex2_A lot of confidence,1.6879180490432586,5.408209349368399,4.656600049851176,6.281133885984165,2.5763135920440307e-108,26176
full_sample,WCRex2_Don't know,1.3566817001871325,3.8832859912976296,3.180957740820321,4.7406823098251945,1.5783242421052884e-40,26176
full_sample,WCRex2_No confidence at all,1.2096286696742402,3.352239633171594,2.8599649912691754,3.9292475930691433,2.1719340716291132e-50,26176
full_sample,WCRex2_Not very much confidence,1.3973692632990555,4.04454582372946,3.5211545540249967,4.645734990970035,6.173879959720415e-87,26176
full_sample,PHQ4_1_More than half the days,-0.12247622417804131,0.8847269398036248,0.4432172473708278,1.766045348319643,0.7283783093624372,26176
full_sample,PHQ4_1_Nearly every day,-0.060333312921204245,0.9414506836045057,0.46849220239829575,1.8918765032205693,0.8654522314850693,26176
full_sample,PHQ4_1_Not at all,0.13977390549274005,1.1500137576675107,0.5782385108207396,2.2871732305539014,0.6902980671382516,26176
full_sample,PHQ4_1_Prefer not to say,0.0027895666463788795,1.0027934611078608,0.4628785336694868,2.172480796784403,0.9943571729555215,26176
full_sample,PHQ4_1_Several days,0.1235054620054984,1.1314561845451023,0.5698085871815471,2.246707273889288,0.7241733722502017,26176
full_sample,PHQ4_2_More than half the days,0.21943032415703675,1.2453670729320903,0.692821515176995,2.2385839821201627,0.46331439710111855,26176
full_sample,PHQ4_2_Nearly every day,0.27829177926822724,1.320871543920778,0.725018233661948,2.40642449325372,0.36319352480630396,26176
full_sample,PHQ4_2_Not at all,0.38908717050878056,1.475633177421622,0.8267909524239889,2.6336684840629285,0.18802896946774827,26176
full_sample,PHQ4_2_Prefer not to say,0.6536637412870989,1.9225717469036916,0.9664180286137063,3.8247238902346465,0.0625146481320079,26176
full_sample,PHQ4_2_Several days,0.3157548843129206,1.3712940887350884,0.7694324515430507,2.4439409515788832,0.2841823789502915,26176
full_sample,PHQ4_3_More than half the days,-0.24037721481317864,0.7863311893429022,0.43463370828632614,1.4226157050066885,0.4268141689342607,26176
full_sample,PHQ4_3_Nearly every day,-0.24687511199607712,0.7812382547253591,0.4282923643062628,1.4250387387478354,0.4208180771794654,26176
full_sample,PHQ4_3_Not at all,-0.20605783721859416,0.8137860078025567,0.4520548286779409,1.4649720000381423,0.4921011819936565,26176
