sample,variable,coef,odds_ratio,ci_lower,ci_upper,p_value,n
full_sample,const,-4.461822261280535,0.011541312826083741,0.009969724522563811,0.013360640150894654,0.0,72594
full_sample,within_mandate_period,1.9418293240850595,6.971492431967638,6.574064612483341,7.392946311585284,0.0,72594
full_sample,country_US,1.578233865225245,4.846388872360496,4.4962463098834755,5.2237985829447,0.0,72594
full_sample,mandate_x_US,-1.5567012701306118,0.21083039790397165,0.19395878349626935,0.22916959922674485,5.944215509566491e-293,72594
full_sample,age,-0.006955965264264808,0.9930681714649383,0.9916655952393477,0.9944727314440021,5.106683026547778e-22,72594
full_sample,household_size,0.030991472230772348,1.0314767076536902,1.0178976013810899,1.0452369639033727,4.570996239378032e-06,72594
full_sample,i2_health,-0.00021655457028496575,0.9997834688759635,0.9995717442088724,0.999995238389595,0.04506698052978775,72594
full_sample,protective_behaviour_nomask_scale,0.6997155060676408,2.013179888529549,1.9830453462022686,2.0437723581770566,0.0,72594
full_sample,week_number,0.015830968684632338,1.0159569423532038,1.0140747135736319,1.0178426647463439,7.622579669606448e-63,72594
full_sample,PHQ4_1_Nearly every day,0.08542061600845538,1.0891750948455634,0.9961819651626475,1.1908490905455746,0.06066156780372159,72594
full_sample,PHQ4_1_Not at all,0.19937859506228892,1.2206440082252088,1.1261549215724238,1.3230611226523707,1.2336228905577112e-06,72594
full_sample,PHQ4_1_Prefer not to say,0.3046864320033063,1.3561996755097974,1.0717135926629875,1.7162025119814461,0.01119499192211331,72594
full_sample,PHQ4_1_Several days,0.17669835132763173,1.193271090192533,1.1110449442299029,1.281582623713048,1.230691188383571e-06,72594
full_sample,PHQ4_2_Nearly every day,0.10637619435473529,1.1122402163035452,1.008161165020521,1.2270640267499058,0.033828395153073586,72594
full_sample,PHQ4_2_Not at all,0.19765038401028032,1.2185362995669182,1.112361270012014,1.3348457496602713,2.1445344047245675e-05,72594
full_sample,PHQ4_2_Prefer not to say,0.18000576660328874,1.1972242670192996,0.9531388969841617,1.503816442782019,0.12177000044212563,72594
full_sample,PHQ4_2_Several days,0.19145299716839567,1.21100791100134,1.1207622423001988,1.3085203133699193,1.2640642996820958e-06,72594
full_sample,PHQ4_3_Nearly every day,0.10740864435143245,1.1133891417131534,1.0160822113327088,1.2200148443292083,0.021341902037635696,72594
full_sample,PHQ4_3_Not at all,0.10172876004340652,1.1070831458151646,1.0117797669208182,1.2113635119211856,0.026763722816867647,72594
full_sample,PHQ4_3_Prefer not to say,-0.15214938992020657,0.8588599661350982,0.6727911407361402,1.0963884581216192,0.22197036790346514,72594
full_sample,PHQ4_3_Several days,0.09733229340736463,1.1022265753988498,1.0211349761997806,1.1897579182301812,0.0125465734118375,72594
full_sample,PHQ4_4_Nearly every day,0.16673278947556067,1.181438530317105,1.0768283754459465,1.2962112001736585,0.0004238659267368876,72594
full_sample,PHQ4_4_Not at all,-0.10837112563799808,0.8972945256254053,0.8201819819311618,0.9816570998323844,0.018089998841442762,72594
full_sample,PHQ4_4_Prefer not to say,0.1957231413229791,1.2161901459242785,0.9517725439720794,1.5540671775111725,0.11763370701127361,72594
full_sample,PHQ4_4_Several days,0.049557131355237385,1.0508056244493624,0.9727752803829596,1.1350951063844046,0.20809296807619626,72594
full_sample,WCRex1_Somewhat badly,0.3465622448451972,1.4141975175963823,1.3064240806757828,1.530861722742618,1.0441820980368919e-17,72594
full_sample,WCRex1_Somewhat well,0.35515952427942243,1.4264081828703652,1.3274617900210601,1.5327298453745004,3.570353533069996e-22,72594
full_sample,WCRex1_Very badly,0.4683430148397421,1.5973452218419144,1.4726573242533034,1.7325902745466695,1.4008621756488336e-29,72594
full_sample,WCRex1_Very well,0.2882505391420555,1.3340915043974466,1.2287686876123576,1.4484419728857219,6.4278344725101236e-12,72594
full_sample,WCRex2_A lot of confidence,0.2815821755599916,1.3252248929448325,1.2544017321870429,1.4000467089747082,9.33988552129925e-24,72594
full_sample,WCRex2_Don't know,0.0600688693455664,1.0619096770516148,0.9593985336436311,1.1753740731010245,0.24615943965477183,72594
full_sample,WCRex2_No confidence at all,-0.2738320107578527,0.7604598135990184,0.7055692188134169,0.8196206873531157,7.846683895455374e-13,72594
full_sample,WCRex2_Not very much confidence,0.05322613241145446,1.0546681127993354,0.9997626128930633,1.1125889424259638,0.05102607922345164,72594
full_sample,employment_status_Not working,-0.42633479587075895,0.6528977180654659,0.6153593462736495,0.6927260190918244,3.225400663986135e-45,72594
full_sample,employment_status_Part time employment,-0.1682378844953999,0.845152762031242,0.8023191425429761,0.8902731510369973,2.3002672904610896e-10,72594
full_sample,employment_status_Retired,-0.33484816168097653,0.7154467103315577,0.6743423420433733,0.7590565850769683,1.3756308897966984e-28,72594
full_sample,employment_status_Unemployed,-0.23006671483093993,0.79448059709651,0.7470311877810633,0.8449438651118488,2.4365875522093666e-13,72594
full_sample,gender_Male,-0.10971973222517872,0.896085243923421,0.8641793965257389,0.9291690679105207,3.002191836923582e-09,72594
full_sample,i11_health_Not sure,0.1440508468765047,1.154942832267504,1.016179739627941,1.312654537173186,0.027403074862738113,72594
full_sample,i11_health_Somewhat unwilling,-0.012063306878569829,0.9880091631059219,0.8782290274002564,1.1115120041874618,0.8409047077251371,72594
full_sample,i11_health_Somewhat willing,0.29183041119979375,1.3388759400206345,1.2466982208526614,1.437869047041811,1.0700478452810817e-15,72594
full_sample,i11_health_Very unwilling,-0.3926220438884517,0.6752839270470349,0.5913999428887821,0.7710659894565148,6.569503097686759e-09,72594
full_sample,i11_health_Very willing,0.36896268053779097,1.4462336300063114,1.352805025784848,1.5461146822305507,2.522602150898145e-27,72594
full_sample,i9_health_Not sure,-0.32712688882402374,0.7209922513631892,0.6721519404538675,0.7733814264892959,6.211564392257047e-20,72594
full_sample,i9_health_Yes,-0.12562248508663726,0.8819477323666013,0.840139558855015,0.9258364213758237,3.9815411721367683e-07,72594
training_sample,const,-4.514292190976392,0.010951353851276196,0.00929586004178519,0.012901673501619334,0.0,58075
training_sample,within_mandate_period,1.9469622152859327,7.007368338924982,6.562559960790942,7.482325697706871,0.0,58075
